Name,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
Alabama,"996,992","1,262,505","1,513,017","1,828,697","2,138,093","2,348,174","2,646,248","2,832,961","3,061,743","3,266,740","3,444,165","3,893,888","4,040,587","4,447,100","4,779,736"
Alaska,,,"33,426","32,052","64,356","55,036","59,278","72,524","128,643","226,167","300,382","401,851","550,043","626,932","710,231"
Arizona,"9,658","40,440","88,243","122,931","204,354","334,162","435,573","499,261","749,587","1,302,161","1,770,900","2,718,215","3,665,228","5,130,632","6,392,017"
Arkansas,"484,471","802,525","1,128,211","1,311,564","1,574,449","1,752,204","1,854,482","1,949,387","1,909,511","1,786,272","1,923,295","2,286,435","2,350,725","2,673,400","2,915,918"
California,"560,247","864,694","1,213,398","1,485,053","2,377,549","3,426,861","5,677,251","6,907,387","10,586,223","15,717,204","19,953,134","23,667,902","29,760,021","33,871,648","37,253,956"
Colorado,"39,864","194,327","413,249","539,700","799,024","939,629","1,035,791","1,123,296","1,325,089","1,753,947","2,207,259","2,889,964","3,294,394","4,301,261","5,029,196"
Connecticut,"537,454","622,700","746,258","908,420","1,114,756","1,380,631","1,606,903","1,709,242","2,007,280","2,535,234","3,031,709","3,107,576","3,287,116","3,405,565","3,574,097"
Delaware,"125,015","146,608","168,493","184,735","202,322","223,003","238,380","266,505","318,085","446,292","548,104","594,338","666,168","783,600","897,934"
District of Columbia,"131,700","177,624","230,392","278,718","331,069","437,571","486,869","663,091","802,178","763,956","756,510","638,333","606,900","572,059","601,723"
Florida,"187,748","269,493","391,422","528,542","752,619","968,470","1,468,211","1,897,414","2,771,305","4,951,560","6,789,443","9,746,324","12,937,926","15,982,378","18,801,310"
Georgia,"1,184,109","1,542,180","1,837,353","2,216,331","2,609,121","2,895,832","2,908,506","3,123,723","3,444,578","3,943,116","4,589,575","5,463,105","6,478,216","8,186,453","9,687,653"
Hawaii,,,,"154,001","191,909","255,912","368,336","423,330","499,794","632,772","768,561","964,691","1,108,229","1,211,537","1,360,301"
Idaho,"14,999","32,610","88,548","161,772","325,594","431,866","445,032","524,873","588,637","667,191","712,567","943,935","1,006,749","1,293,953","1,567,582"
Illinois,"2,539,891","3,077,871","3,826,351","4,821,550","5,638,591","6,485,280","7,630,654","7,897,241","8,712,176","10,081,158","11,113,976","11,426,518","11,430,602","12,419,293","12,830,632"
Indiana,"1,680,637","1,978,301","2,192,404","2,516,462","2,700,876","2,930,390","3,238,503","3,427,796","3,934,224","4,662,498","5,193,669","5,490,224","5,544,159","6,080,485","6,483,802"
