name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
Allegan,2276,Valid,H5,32000,Fell,1899,42.53333,-85.88333,"(42.533330, -85.883330)"
Allende,2278,Valid,CV3,2000000,Fell,1969,26.96667,-105.31667,"(26.966670, -105.316670)"
Andover,2295,Valid,L6,3200,Fell,1898,44.61667,-70.75,"(44.616670, -70.750000)"
Archie,2329,Valid,H6,5070,Fell,1932,38.5,-94.3,"(38.500000, -94.300000)"
Ash Creek,48954,Valid,L6,9500,Fell,2009,31.805,-97.01,"(31.805000, -97.010000)"
Athens,4885,Valid,LL6,265,Fell,1933,34.75,-87,"(34.750000, -87.000000)"
Atoka,4888,Valid,L6,1384.2,Fell,1945,34.31667,-96.15,"(34.316670, -96.150000)"
Avilez,4907,Valid,H,146,Fell,1855,25,-103.5,"(25.000000, -103.500000)"
Aztec,4913,Valid,L6,2830,Fell,1938,36.8,-108,"(36.800000, -108.000000)"
Bald Mountain,4925,Valid,L4,3700,Fell,1929,35.96667,-82.48333,"(35.966670, -82.483330)"
Baldwyn,4926,Valid,L6,345,Fell,1922,34.5,-88.66667,"(34.500000, -88.666670)"
Bath,4974,Valid,H4,21000,Fell,1892,45.41667,-98.31667,"(45.416670, -98.316670)"
Bath Furnace,4975,Valid,L6,86000,Fell,1902,38.25,-83.75,"(38.250000, -83.750000)"
Battle Mountain,56133,Valid,L6,2900,Fell,2012,40.66813,-117.18913,"(40.668130, -117.189130)"
Baxter,4977,Valid,L6,611,Fell,1916,36.75,-93.5,"(36.750000, -93.500000)"
Beardsley,4984,Valid,H5,16000,Fell,1929,39.8,-101.2,"(39.800000, -101.200000)"
Bells,5005,Valid,C2-ung,375,Fell,1961,33.6,-96.46667,"(33.600000, -96.466670)"
Benld,5021,Valid,H6,1770.5,Fell,1938,39.08333,-89.15,"(39.083330, -89.150000)"
Benton,5026,Valid,LL6,2840,Fell,1949,45.95,-67.55,"(45.950000, -67.550000)"
Berthoud,47355,Valid,Eucrite-mmict,960,Fell,2004,40.30583,-105.02325,"(40.305830, -105.023250)"
Bethlehem,5032,Valid,H,13.9,Fell,1859,42.53333,-73.83333,"(42.533330, -73.833330)"
Bishopville,5059,Valid,Aubrite,6000,Fell,1843,34.16667,-80.28333,"(34.166670, -80.283330)"
Black Moshannan Park,5065,Valid,L5,705,Fell,1941,40.91667,-78.08333,"(40.916670, -78.083330)"
Blackwell,5068,Valid,L5,2381,Fell,1906,36.83333,-97.33333,"(36.833330, -97.333330)"
Blanket,5071,Valid,L6,5100,Fell,1909,31.83333,-98.83333,"(31.833330, -98.833330)"
Bloomington,5076,Valid,LL6,67.8,Fell,1938,40.48,-89.00417,"(40.480000, -89.004170)"
Bradford Woods,5128,Valid,L,762,Fell,1886,40.5,-80.08333,"(40.500000, -80.083330)"
Burnwell,5175,Valid,H4-an,1504,Fell,1990,37.62194,-82.23722,"(37.621940, -82.237220)"
Cabin Creek,5186,Valid,"Iron, IIIAB",48500,Fell,1886,35.5,-93.5,"(35.500000, -93.500000)"
Canon City,5253,Valid,H6,1400,Fell,1973,38.47028,-105.24139,"(38.470280, -105.241390)"
Cape Girardeau,5260,Valid,H6,2300,Fell,1846,37.26667,-89.58333,"(37.266670, -89.583330)"
Castalia,5291,Valid,H5,7300,Fell,1874,36.08333,-78.06667,"(36.083330, -78.066670)"
Castine,5293,Valid,L6,94,Fell,1848,44.38333,-68.75,"(44.383330, -68.750000)"
Caswell County,5296,Valid,OC,1360,Fell,1810,36.5,-79.25,"(36.500000, -79.250000)"
Ceniceros,5306,Valid,L3.7,1025,Fell,1988,26.46667,-105.23333,"(26.466670, -105.233330)"
Centerville,5307,Valid,H5,45.6,Fell,1956,43.2,-96.91667,"(43.200000, -96.916670)"
Charlotte,5328,Valid,"Iron, IVA",4300,Fell,1835,36.16667,-87.33333,"(36.166670, -87.333330)"
Cherokee Springs,5340,Valid,LL6,8400,Fell,1933,35.03333,-81.88333,"(35.033330, -81.883330)"
Chicora,5349,Valid,LL6,303,Fell,1938,40.93333,-79.73333,"(40.933330, -79.733330)"
Claxton,5374,Valid,L6,1455,Fell,1984,32.1025,-81.87278,"(32.102500, -81.872780)"
Colby (Wisconsin),5395,Valid,L6,104000,Fell,1917,44.9,-90.28333,"(44.900000, -90.283330)"
Coleman,5401,Valid,L6,469,Fell,1994,43.76111,-84.50778,"(43.761110, -84.507780)"
Crescent,5470,Valid,CM2,78.4,Fell,1936,35.95,-97.58333,"(35.950000, -97.583330)"
Cross Roads,5476,Valid,H5,167,Fell,1892,35.63333,-78.13333,"(35.633330, -78.133330)"
Cumberland Falls,5496,Valid,Aubrite,17000,Fell,1919,36.83333,-84.35,"(36.833330, -84.350000)"
Cynthiana,5500,Valid,L/LL4,6000,Fell,1877,38.4,-84.25,"(38.400000, -84.250000)"
Danville,5514,Valid,L6,2000,Fell,1868,34.4,-87.06667,"(34.400000, -87.066670)"
De Cewsville,6621,Valid,H6,340,Fell,1887,43,-80,"(43.000000, -80.000000)"
Deal,6634,Valid,L6,28,Fell,1829,40.25,-74,"(40.250000, -74.000000)"
Denver,6660,Valid,L6,230,Fell,1967,39.7825,-104.93056,"(39.782500, -104.930560)"
Drake Creek,7728,Valid,L6,5000,Fell,1827,36.4,-86.5,"(36.400000, -86.500000)"
Dresden (Ontario),7731,Valid,H6,47700,Fell,1939,42.52,-82.26,"(42.520000, -82.260000)"
Eagle,7760,Valid,EL6,10000,Fell,1947,40.78167,-96.47167,"(40.781670, -96.471670)"
El Paso de Aguila,45977,Valid,H5,17226,Fell,1977,25.37,-97.37,"(25.370000, -97.370000)"
Elbert,7822,Valid,LL6,680.5,Fell,1998,39.24667,-104.58817,"(39.246670, -104.588170)"
Estherville,10059,Valid,Mesosiderite-A3/4,320000,Fell,1879,43.41667,-94.83333,"(43.416670, -94.833330)"
Farmington,10074,Valid,L5,89400,Fell,1890,39.75,-97.03333,"(39.750000, -97.033330)"
Farmville,10075,Valid,H4,56000,Fell,1934,35.55,-77.53333,"(35.550000, -77.533330)"
Fayetteville,10079,Valid,H4,2360,Fell,1934,36.05,-94.16667,"(36.050000, -94.166670)"
Felix,10081,Valid,CO3.3,3200,Fell,1900,32.53333,-87.16667,"(32.533330, -87.166670)"
Ferguson,10088,Valid,OC,220,Fell,1889,36.1,-81.41667,"(36.100000, -81.416670)"
Fisher,10107,Valid,L6,17600,Fell,1894,47.81667,-96.85,"(47.816670, -96.850000)"
Florence,10111,Valid,H3,3640,Fell,1922,30.83333,-97.76667,"(30.833330, -97.766670)"
Forest City,10119,Valid,H5,152000,Fell,1890,43.25,-93.66667,"(43.250000, -93.666670)"
Forksville,10123,Valid,L6,6067,Fell,1924,36.78333,-78.08333,"(36.783330, -78.083330)"
Forsyth,10164,Valid,L6,16300,Fell,1829,33.01667,-83.96667,"(33.016670, -83.966670)"
Frankfort (stone),10177,Valid,Howardite,650,Fell,1868,34.48333,-87.83333,"(34.483330, -87.833330)"
Garland,10861,Valid,Diogenite-pm,102,Fell,1950,41.68333,-112.13333,"(41.683330, -112.133330)"
Grimsby,50911,Valid,H5,215,Fell,2009,43.2,-79.61667,"(43.200000, -79.616670)"
Hamlet,11485,Valid,LL4,3710,Fell,1959,41.38333,-86.6,"(41.383330, -86.600000)"
Harleton,11830,Valid,L6,8360,Fell,1961,32.675,-94.51167,"(32.675000, -94.511670)"
Harrison County,11842,Valid,L6,680,Fell,1859,38.25,-86.16667,"(38.250000, -86.166670)"
Holbrook,11894,Valid,L/LL6,220000,Fell,1912,34.9,-110.18333,"(34.900000, -110.183330)"
