,name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation,state
0,Allegan,2276,Valid,H5,32000.0,Fell,1899.0,42.53333,-85.88333,"(42.533330, -85.883330)",US-MI
1,Allende,2278,Valid,CV3,2000000.0,Fell,1969.0,26.96667,-105.31667,"(26.966670, -105.316670)",US-TX
2,Andover,2295,Valid,L6,3200.0,Fell,1898.0,44.61667,-70.75,"(44.616670, -70.750000)",US-NH
3,Archie,2329,Valid,H6,5070.0,Fell,1932.0,38.5,-94.3,"(38.500000, -94.300000)",US-MO
4,Ash Creek,48954,Valid,L6,9500.0,Fell,2009.0,31.805,-97.01,"(31.805000, -97.010000)",US-TX
5,Athens,4885,Valid,LL6,265.0,Fell,1933.0,34.75,-87.0,"(34.750000, -87.000000)",US-AL
6,Atoka,4888,Valid,L6,1384.2,Fell,1945.0,34.31667,-96.15,"(34.316670, -96.150000)",US-TX
7,Avilez,4907,Valid,H,146.0,Fell,1855.0,25.0,-103.5,"(25.000000, -103.500000)",
8,Aztec,4913,Valid,L6,2830.0,Fell,1938.0,36.8,-108.0,"(36.800000, -108.000000)",US-NM
9,Bald Mountain,4925,Valid,L4,3700.0,Fell,1929.0,35.96667,-82.48333,"(35.966670, -82.483330)",US-TN
10,Baldwyn,4926,Valid,L6,345.0,Fell,1922.0,34.5,-88.66667,"(34.500000, -88.666670)",US-MS
11,Bath,4974,Valid,H4,21000.0,Fell,1892.0,45.41667,-98.31667,"(45.416670, -98.316670)",US-SD
12,Bath Furnace,4975,Valid,L6,86000.0,Fell,1902.0,38.25,-83.75,"(38.250000, -83.750000)",US-KY
13,Battle Mountain,56133,Valid,L6,2900.0,Fell,2012.0,40.66813,-117.18913,"(40.668130, -117.189130)",US-NV
14,Baxter,4977,Valid,L6,611.0,Fell,1916.0,36.75,-93.5,"(36.750000, -93.500000)",US-MO
15,Beardsley,4984,Valid,H5,16000.0,Fell,1929.0,39.8,-101.2,"(39.800000, -101.200000)",US-KS
16,Bells,5005,Valid,C2-ung,375.0,Fell,1961.0,33.6,-96.46667,"(33.600000, -96.466670)",US-TX
17,Benld,5021,Valid,H6,1770.5,Fell,1938.0,39.08333,-89.15,"(39.083330, -89.150000)",US-KY
18,Benton,5026,Valid,LL6,2840.0,Fell,1949.0,45.95,-67.55,"(45.950000, -67.550000)",US-ME
19,Berthoud,47355,Valid,Eucrite-mmict,960.0,Fell,2004.0,40.30583,-105.02325,"(40.305830, -105.023250)",US-CO
20,Bethlehem,5032,Valid,H,13.9,Fell,1859.0,42.53333,-73.83333,"(42.533330, -73.833330)",US-NY
21,Bishopville,5059,Valid,Aubrite,6000.0,Fell,1843.0,34.16667,-80.28333,"(34.166670, -80.283330)",US-NC
22,Black Moshannan Park,5065,Valid,L5,705.0,Fell,1941.0,40.91667,-78.08333,"(40.916670, -78.083330)",US-NY
