State,Year,Population
Alabama,1870,996992
Alabama,1880,1262505
Alabama,1890,1513017
Alabama,1900,1828697
Alabama,1910,2138093
Alabama,1920,2348174
Alabama,1930,2646248
Alabama,1940,2832961
Alabama,1950,3061743
Alabama,1960,3266740
Alabama,1970,3444165
Alabama,1980,3893888
Alabama,1990,4040587
Alabama,2000,4447100
Alabama,2010,4779736
Alabama,1870,996992
Alabama,1880,1262505
Alabama,1890,1513017
Alabama,1900,1828697
Alabama,1910,2138093
Alabama,1920,2348174
Alabama,1930,2646248
Alabama,1940,2832961
Alabama,1950,3061743
Alabama,1960,3266740
Alabama,1970,3444165
Alabama,1980,3893888
Alabama,1990,4040587
Alabama,2000,4447100
Alabama,2010,4779736
Alabama,1870,996992
Alabama,1880,1262505
Alabama,1890,1513017
Alabama,1900,1828697
Alabama,1910,2138093
Alabama,1920,2348174
Alabama,1930,2646248
Alabama,1940,2832961
Alabama,1950,3061743
Alabama,1960,3266740
Alabama,1970,3444165
Alabama,1980,3893888
Alabama,1990,4040587
Alabama,2000,4447100
Alabama,2010,4779736
Alaska,1870,-1
Alaska,1880,-1
Alaska,1890,33426
Alaska,1900,32052
Alaska,1910,64356
Alaska,1920,55036
Alaska,1930,59278
Alaska,1940,72524
Alaska,1950,128643
Alaska,1960,226167
Alaska,1970,300382
Alaska,1980,401851
Alaska,1990,550043
Alaska,2000,626932
Alaska,2010,710231
Alaska,1870,-1
Alaska,1880,-1
Alaska,1890,33426
Alaska,1900,32052
Alaska,1910,64356
Alaska,1920,55036
Alaska,1930,59278
Alaska,1940,72524
Alaska,1950,128643
Alaska,1960,226167
Alaska,1970,300382
Alaska,1980,401851
Alaska,1990,550043
Alaska,2000,626932
Alaska,2010,710231
Alaska,1870,-1
Alaska,1880,-1
Alaska,1890,33426
Alaska,1900,32052
Alaska,1910,64356
Alaska,1920,55036
Alaska,1930,59278
Alaska,1940,72524
Alaska,1950,128643
Alaska,1960,226167
Alaska,1970,300382
Alaska,1980,401851
Alaska,1990,550043
Alaska,2000,626932
Alaska,2010,710231
Arizona,1870,9658
Arizona,1880,40440
Arizona,1890,88243
Arizona,1900,122931
Arizona,1910,204354
Arizona,1920,334162
Arizona,1930,435573
Arizona,1940,499261
Arizona,1950,749587
Arizona,1960,1302161
Arizona,1970,1770900
Arizona,1980,2718215
Arizona,1990,3665228
Arizona,2000,5130632
Arizona,2010,6392017
Arizona,1870,9658
Arizona,1880,40440
Arizona,1890,88243
Arizona,1900,122931
Arizona,1910,204354
Arizona,1920,334162
Arizona,1930,435573
Arizona,1940,499261
Arizona,1950,749587
Arizona,1960,1302161
Arizona,1970,1770900
Arizona,1980,2718215
Arizona,1990,3665228
Arizona,2000,5130632
Arizona,2010,6392017
Arizona,1870,9658
Arizona,1880,40440
Arizona,1890,88243
Arizona,1900,122931
Arizona,1910,204354
Arizona,1920,334162
Arizona,1930,435573
Arizona,1940,499261
Arizona,1950,749587
Arizona,1960,1302161
Arizona,1970,1770900
Arizona,1980,2718215
Arizona,1990,3665228
Arizona,2000,5130632
Arizona,2010,6392017
Arkansas,1870,484471
Arkansas,1880,802525
Arkansas,1890,1128211
Arkansas,1900,1311564
Arkansas,1910,1574449
Arkansas,1920,1752204
Arkansas,1930,1854482
Arkansas,1940,1949387
Arkansas,1950,1909511
Arkansas,1960,1786272
Arkansas,1970,1923295
Arkansas,1980,2286435
Arkansas,1990,2350725
Arkansas,2000,2673400
Arkansas,2010,2915918
Arkansas,1870,484471
Arkansas,1880,802525
Arkansas,1890,1128211
Arkansas,1900,1311564
Arkansas,1910,1574449
Arkansas,1920,1752204
Arkansas,1930,1854482
Arkansas,1940,1949387
Arkansas,1950,1909511
Arkansas,1960,1786272
Arkansas,1970,1923295
Arkansas,1980,2286435
Arkansas,1990,2350725
Arkansas,2000,2673400
Arkansas,2010,2915918
Arkansas,1870,484471
Arkansas,1880,802525
Arkansas,1890,1128211
Arkansas,1900,1311564
Arkansas,1910,1574449
Arkansas,1920,1752204
Arkansas,1930,1854482
Arkansas,1940,1949387
Arkansas,1950,1909511
Arkansas,1960,1786272
Arkansas,1970,1923295
Arkansas,1980,2286435
Arkansas,1990,2350725
Arkansas,2000,2673400
Arkansas,2010,2915918
California,1870,560247
California,1880,864694
California,1890,1213398
California,1900,1485053
California,1910,2377549
California,1920,3426861
California,1930,5677251
California,1940,6907387
California,1950,10586223
California,1960,15717204
California,1970,19953134
California,1980,23667902
California,1990,29760021
California,2000,33871648
California,2010,37253956
California,1870,560247
California,1880,864694
California,1890,1213398
California,1900,1485053
California,1910,2377549
California,1920,3426861
California,1930,5677251
California,1940,6907387
California,1950,10586223
California,1960,15717204
California,1970,19953134
California,1980,23667902
California,1990,29760021
California,2000,33871648
California,2010,37253956
California,1870,560247
California,1880,864694
California,1890,1213398
California,1900,1485053
California,1910,2377549
California,1920,3426861
California,1930,5677251
California,1940,6907387
California,1950,10586223
California,1960,15717204
California,1970,19953134
California,1980,23667902
California,1990,29760021
California,2000,33871648
California,2010,37253956
Colorado,1870,39864
Colorado,1880,194327
Colorado,1890,413249
Colorado,1900,539700
Colorado,1910,799024
Colorado,1920,939629
Colorado,1930,1035791
Colorado,1940,1123296
Colorado,1950,1325089
Colorado,1960,1753947
Colorado,1970,2207259
Colorado,1980,2889964
Colorado,1990,3294394
Colorado,2000,4301261
Colorado,2010,5029196
Colorado,1870,39864
Colorado,1880,194327
Colorado,1890,413249
Colorado,1900,539700
Colorado,1910,799024
Colorado,1920,939629
Colorado,1930,1035791
Colorado,1940,1123296
Colorado,1950,1325089
Colorado,1960,1753947
Colorado,1970,2207259
Colorado,1980,2889964
Colorado,1990,3294394
Colorado,2000,4301261
Colorado,2010,5029196
Colorado,1870,39864
Colorado,1880,194327
Colorado,1890,413249
Colorado,1900,539700
Colorado,1910,799024
Colorado,1920,939629
Colorado,1930,1035791
Colorado,1940,1123296
Colorado,1950,1325089
Colorado,1960,1753947
Colorado,1970,2207259
Colorado,1980,2889964
Colorado,1990,3294394
Colorado,2000,4301261
Colorado,2010,5029196
Connecticut,1870,537454
Connecticut,1880,622700
Connecticut,1890,746258
Connecticut,1900,908420
Connecticut,1910,1114756
Connecticut,1920,1380631
Connecticut,1930,1606903
Connecticut,1940,1709242
Connecticut,1950,2007280
Connecticut,1960,2535234
Connecticut,1970,3031709
Connecticut,1980,3107576
Connecticut,1990,3287116
Connecticut,2000,3405565
Connecticut,2010,3574097
