"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,Source Used for Orbital Data,Source,Source,Source,Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAUSat-4,NR (12/16),Denmark,University of Aalborg,Civil,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,442,687,1.77E-02,98.2,95.9,1,,,4/25/16,,University of Aalborg,Denmark,Guiana Space Center,Soyuz 2.1a,2016-025E,41460,Carries AIS system.,Space50,http://spaceflightnow.com/2016/04/26/soyuz-blasts-off-with-environmental-satellite-general-relativity-probe/,http://space50.org/objekt.php?mot=2016-025E&jazyk=pp_en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ABS-2 (Koreasat-8, ST-3)",NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,75,"35,778","35,793",1.78E-04,0.08,1436.03,"6,330",,"16,000",2/6/14,15 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane  5 ECA,2014-006A,39508,"32 C-band, 51 Ku-band, and 6 Ka-band transponders. $214 million lawsuit for bad beam.",ZARYA,http://www.absatellite.net/satellite-fleet/?sat=abs6,http://www.zarya.info/Diaries/Launches/Launches.php?year=2014,http://www.absatellite.net/2010/10/13/asia-broadcast-satellite-signs-abs-2-satellite-manufacturing-contract-with-space-systemsloral/,http://www.spacenews.com/article/satellite-telecom/42218abs-files-214-million-insurance-claim-for-bad-satellite-beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS-2A,NR (12/16),Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,-75,"35,700","35,700",0.00E+00,0,1436.1,"1,800",,,6/15/16,15 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2016-038A,41588,,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS-3A ,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,-3,"35,788","35,803",1.78E-04,0.1,1436,"2,000",,,3/2/15,15 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2015-010A,40424,Coverage of Americas Europe and Africa.,,http://www.absatellite.net/satellite-fleet/?sat=abs3a,http://spaceflightnow.com/2015/03/17/innovative-satellites-begin-maneuvers-with-all-electric-thrusters/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,75,"35,780","35,793",1.54E-04,0.01,1436.1,"4,143","1,700","7,400",3/13/04,12 yrs.,Space Systems/Loral,USA,Cape Canaveral,Atlas 3,2004-007A,28184,Purchased by ABS in 2013.,JM/12_08,http://www.absatellite.net/satellite-fleet/?sat=abs2,,http://space.skyrocket.de/doc_sdat/mbsat-1.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ABS-7 (Koreasat 3, Mugungwha 3)",South Korea,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,116.18,"35,780","35,791",1.30E-04,0.01,1436.06,"3,500","1,800","4,800",9/4/99,15 yrs.,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane,1999-046A,25894,"30 Ku-band, 6 Ka-band; Korean peninsula, the Japanese archipelago, and parts of China and Russia.",JM/12_08,http://www.planet4589.org/space/jsr/back/news.407,http://lmms.external.lmco.com/newsbureau/pressreleases/1999/99.202.html,http://www.kt.co.kr/eng/biz_info/satellite_biz/system/koreasat3.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Orion 2 (Mentor, NROL 6, USA 139)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,-26,"35,560","36,013",5.37E-03,7.72,1436.14,"4,500",,,5/9/98,,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA,1998-029A,25336,ELINT.,JM/12_08,http://www.sciencepresse.qc.ca/clafleur/Spacecrafts-1998.html#Orion,http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm,http://www.msnbc.com/news/185953.asp#BODY,http://www.lib.cas.cz/www/space.40/1990/097B.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Orion 3 (Mentor, NROL 19, USA 171)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,95.4,"35,589","35,984",4.68E-03,3.2,1436.1,"4,500",,,9/9/03,,TRW Space and Electronics,USA,Cape Canaveral,Titan IV,2003-041A,27937,Electronic intelligence (ELINT). ,JM/12_08,http://www.sciencepresse.qc.ca/clafleur/Spacecrafts-2003.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx599.html,http://www.fsri.org/FSRI%20Archives/Aerospace%20News/Aerospace%20Update%2009-15-03.pdf,http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Orion 4 (Mentor, NRO L-26, USA 202)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,44,"35,714","35,937",2.64E-03,2.89,1438.8,"5,000",,,1/18/09,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2009-001A,33490,ELINT.,SC - ASCR,http://www.globalsecurity.org/space/systems/trumpet.htm,http://www.space.com/missionlaunches/sfn-090119-delta4-spysat-launch.html,http://www.sworld.com.au/steven/space/usmil-man.txt,http://www.nasaspaceflight.com/2010/11/live-delta-iv-heavy-launch-with-nrol-3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Orion 5 (Mentor, NRO L-32, USA 223)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,100.9,"35,500","35,500",0.00E+00,0,1436,"5,000",,,11/21/10,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2010-063A,37232,ELINT.,SC - ASCR,http://forum.nasaspaceflight.com/index.php?topic=11127.45,http://www.space.com/missionlaunches/sfn-090119-delta4-spysat-launch.html,http://www.sworld.com.au/steven/space/usmil-man.txt,http://www.nasaspaceflight.com/2010/11/live-delta-iv-heavy-launch-with-nrol-3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Orion 6 (Mentor, NRO L-15, USA 237)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,60,"35,771","35,805",4.03E-04,0,1436.1,"5,000",,,6/29/12,,National Reconnaissance Laboratory(?),USA,Cape Canaveral,Delta 4 Heavy,2012-034A,38528,ELINT.,CalSky,http://www.nasaspaceflight.com/2012/06/delta-iv-heavy-launch-nrol-15-cape-canaveral/,http://www.nasaspaceflight.com/2012/06/delta-iv-heavy-launch-nrol-15-cape-canaveral/,http://www.calsky.com/observer//tle.cgi?satid=12034A&tdt=2456146.41756944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Orion 7 (Mentor, NRO L-37, USA 268)",NR (12/16),USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,102.6,"35,613","35,903",3.44E-03,7.51,1437.19,"5,000",,,6/11/16,,National Reconnaissance Laboratory(?),USA,Cape Canaveral,Delta 4 Heavy,2016-036A,41584,ELINT.,ZARYA,http://spaceflightnow.com/2016/06/11/triple-barrel-delta-4-heavy-launches-national-security-satellite/,http://spaceflight101.com/delta-iv-nrol-37/nrol-37-satellite/,http://sattrackcam.blogspot.com/2016/06/mentor-7-nrol-37-stopped-drifting-at.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)",USA,USA,US Air Force,Military,Communications,,GEO,,-120,"35,772","35,801",3.44E-04,2.34,1436.1,"6,169",,,5/3/12,14 yrs.,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2012-019A,38254,Second in constellation.,ZARYA,,http://www.nasaspaceflight.com/2013/09/atlas-v-loft-aehf-3-satellite/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",NR,USA,US Air Force,Military,Communications,,GEO,,,"35,700","35,803",1.22E-03,4.2,1436.1,"6,169",,,9/18/13,14 yrs.,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2013-050A,39256,Third in constellation.,ZARYA,http://www.zarya.info/Diaries/Launches/Launches.php?year=2013,http://www.nasaspaceflight.com/2013/09/atlas-v-loft-aehf-3-satellite/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aeneas,USA,USA,Department of Homeland Security,Government,Technology Development,,LEO,Equatorial,0,480,790,2.21E-02,0.02,97.4,3,,,9/13/12,,University of Southern California,USA,Vandenberg AFB,Atlas 5,2012-048C,38760,Demonsration program to track cargo containers worldwide.,ZARYA,http://www.zarya.info/Diaries/Launches/Launches.php?year=2012#end,http://www.spaceflight101.com/nrol-36-launch.updates.html,http://www.isi.edu/projects/serc/aeneas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 4.5A,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,495,791,2.11E-02,64.6,97.5,5,,,9/13/12,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2012-048K,38767,,ZARYA,http://www.zarya.info/Diaries/Launches/Launches.php?year=2012#end,https://directory.eoportal.org/web/eoportal/satellite-missions/a/aerocube-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 4.5B,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,499,792,2.09E-02,64.6,97.6,5,,,9/13/12,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2012-048L,38768,,ZARYA,http://www.zarya.info/Diaries/Launches/Launches.php?year=2012#end,https://directory.eoportal.org/web/eoportal/satellite-missions/a/aerocube-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 5A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Polar,0,443,886,3.15E-02,120.3,98,5,,,12/6/13,2 yrs.,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2013-072D,39465,Cubesat to demonstrate new technologies for pointing and tracking between two identical CubeSats and to demonstrate a deorbit device.,ZARYA,http://www.spaceflight101.com/atlas-v-nrol-39-launch-updates.html,https://www.aerospace.org/2013/08/14/sometimes-smaller-is-better/,http://www.spaceflight101.com/atlas-v-nrol-39-launch-updates.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
