Name,Launch Site,State,Latitude,Longitude,Day,Year
AAUSat-4,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20160425,2016
"ABS-2 (Koreasat-8, ST-3)",Guiana Space Center,French Guiana,5.21237515,-52.77388327,20140206,2014
ABS-2A,Cape Canaveral,Florida,28.45077,-80.52662,20160615,2016
ABS-3A ,Cape Canaveral,Florida,28.45077,-80.52662,20150302,2015
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",Cape Canaveral,Florida,28.45077,-80.52662,20040313,2004
"ABS-7 (Koreasat 3, Mugungwha 3)",Guiana Space Center,French Guiana,5.21237515,-52.77388327,19990904,1999
"Advanced Orion 2 (Mentor, NROL 6, USA 139)",Cape Canaveral,Florida,28.45077,-80.52662,19980509,1998
"Advanced Orion 3 (Mentor, NROL 19, USA 171)",Cape Canaveral,Florida,28.45077,-80.52662,20030909,2003
"Advanced Orion 4 (Mentor, NRO L-26, USA 202)",Cape Canaveral,Florida,28.45077,-80.52662,20090118,2009
"Advanced Orion 5 (Mentor, NRO L-32, USA 223)",Cape Canaveral,Florida,28.45077,-80.52662,20101121,2010
"Advanced Orion 6 (Mentor, NRO L-15, USA 237)",Cape Canaveral,Florida,28.45077,-80.52662,20120629,2012
"Advanced Orion 7 (Mentor, NRO L-37, USA 268)",Cape Canaveral,Florida,28.45077,-80.52662,20160611,2016
"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)",Cape Canaveral,Florida,28.45077,-80.52662,20120503,2012
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",Cape Canaveral,Florida,28.45077,-80.52662,20130918,2013
Aeneas,Vandenberg AFB,California,34.7425933,-120.5155986,20120913,2012
Aerocube 4.5A,Vandenberg AFB,California,34.7425933,-120.5155986,20120913,2012
Aerocube 4.5B,Vandenberg AFB,California,34.7425933,-120.5155986,20120913,2012
Aerocube 5A,Vandenberg AFB,California,34.7425933,-120.5155986,20131206,2013
Aerocube 5B,Vandenberg AFB,California,34.7425933,-120.5155986,20131206,2013
Aerocube 5C,Vandenberg AFB,California,34.7425933,-120.5155986,20151008,2015
Aerocube 7A,Vandenberg AFB,California,34.7425933,-120.5155986,20151008,2015
Aerocube 8A,Cape Canaveral,Florida,28.45077,-80.52662,20150520,2015
Aerocube 8B,Cape Canaveral,Florida,28.45077,-80.52662,20150520,2015
Aerocube 8C,Vandenberg AFB,California,34.7425933,-120.5155986,20161111,2016
Aerocube 8D,Vandenberg AFB,California,34.7425933,-120.5155986,20161111,2016
"Afghansat-1 (Eutelsat 28B, Eutelsat 48B, Eutelsat W2M, Eutelsat 48D)",Guiana Space Center,French Guiana,5.21237515,-52.77388327,20081220,2008
Afristar ,Guiana Space Center,French Guiana,5.21237515,-52.77388327,19981028,1998
AIM (Aeronomy of Ice in Mesosphere),Vandenberg AFB,California,34.7425933,-120.5155986,20070425,2007
ALiCE__(AFIT LEO iMESA CNT E),Vandenberg AFB,California,34.7425933,-120.5155986,20131206,2013
Alphasat I-XL__(Inmarsat IV-A F4),Guiana Space Center,French Guiana,5.21237515,-52.77388327,20130725,2013
Altair-1 (Altair Pathfinder),International Space Center,Texas,29.5517223,-95.0985272,20170518,2017
Amazonas-2,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20091001,2009
Amazonas-3,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20130207,2013
Amazonas-4A,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20140322,2014
"AMC-1 (Americom 1, GE-1)",Cape Canaveral,Florida,28.45077,-80.52662,19960908,1996
"AMC-10 (Americom-10, GE 10)",Cape Canaveral,Florida,28.45077,-80.52662,20040205,2004
"AMC-11 (Americom-11, GE 11)",Cape Canaveral,Florida,28.45077,-80.52662,20040519,2004
