urban_area,country,pop_rank,population,major_4_cnt,major_6_cnt,NFL,MLB,NBA,NHL,MLS,CFL
New York City,United States,1,"20,685,000",9,11,Giants Jets[note 1],Yankees Mets[note 2],Knicks Nets,Rangers Islanders Devils[note 3],Red Bulls New York City FC,Ñ
Los Angeles,United States,2,"15,135,000",8,10,Rams Chargers[note 4],Dodgers Angels,Lakers Clippers,Kings Ducks,Galaxy Los Angeles FC[note 5],Ñ
San Francisco Bay Area,United States,7,"5,955,000",6,7,49ers Raiders[note 6],Giants Athletics,Warriors,Sharks[note 7],Earthquakes,Ñ
Chicago,United States,3,"9,185,000",5,6,Bears[note 8],Cubs White Sox,Bulls[note 9],Blackhawks,Fire,Ñ
Dallas Fort Worth,United States,5,"6,280,000",4,5,Cowboys,Rangers,Mavericks,Stars,FC Dallas,Ñ
Philadelphia,United States,9,"5,595,000",4,5,Eagles,Phillies[note 10],76ers,Flyers[note 11],Union,Ñ
"Washington, D.C.",United States,11,"4,950,000",4,5,Redskins,Nationals[note 12],Wizards[note 13],Capitals,D.C. United,Ñ
Boston,United States,12,"4,490,000",4,5,Patriots[note 14],Red Sox[note 15],Celtics,Bruins,Revolution,Ñ
Minneapolis Saint Paul,United States,18,"2,795,000",4,5,Vikings,Twins,Timberwolves,Wild[note 16],United FC,Ñ
Denver,United States,20,"2,600,000",4,5,Broncos,Rockies,Nuggets[note 17],Avalanche[note 18],Rapids,Ñ
Miami,United States,8,"5,820,000",4,4,Dolphins,Marlins,Heat,Panthers,[note 19],Ñ
Phoenix,United States,13,"4,295,000",4,4,Cardinals,Diamondbacks,Suns,Coyotes,Ñ,Ñ
Detroit,United States,14,"3,660,000",4,4,Lions,Tigers[note 20],Pistons[note 21],Red Wings,Ñ,Ñ
Toronto,Canada,4,"6,550,000",3,5,[note 22],Blue Jays,Raptors[note 23],Maple Leafs[note 24],Toronto FC,Argonauts
Houston,United States,6,"6,005,000",3,4,Texans[note 25],Astros,Rockets,Ñ,Dynamo,Ñ
Atlanta,United States,10,"5,120,000",3,4,Falcons,Braves,Hawks,[note 26],United FC,Ñ
Tampa Bay Area,United States,19,"2,660,000",3,3,Buccaneers,Rays,Ñ,Lightning,[note 27],Ñ
Cleveland,United States,29,"1,785,000",3,3,Browns[note 28],Indians[note 29],Cavaliers[note 30],[note 31],Ñ,Ñ
Pittsburgh,United States,30,"1,730,000",3,3,Steelers,Pirates,[note 32],Penguins[note 33],Ñ,Ñ
Seattle,United States,16,"3,475,000",2,3,Seahawks,Mariners,[note 34],Ñ,Sounders FC,Ñ
Kansas City,United States,34,"1,610,000",2,3,Chiefs,Royals[note 35],[note 36],[note 37],Sporting Kansas City,Ñ
Baltimore,United States,22,"2,275,000",2,2,Ravens[note 38],Orioles[note 39],[note 40],Ñ,Ñ,[note 41]
St. Louis,United States,24,"2,195,000",2,2,[note 42],Cardinals[note 43],[note 44],Blues[note 45],Ñ,Ñ
Cincinnati,United States,31,"1,695,000",2,2,Bengals,Reds[note 46],[note 47],Ñ,Ñ,Ñ
Indianapolis,United States,33,"1,645,000",2,2,Colts,[note 48],Pacers[note 49],Ñ,Ñ,Ñ
Milwaukee,United States,38,"1,415,000",2,2,[note 50],Brewers[note 51],Bucks,Ñ,Ñ,Ñ
Charlotte,United States,35,"1,600,000",2,2,Panthers,Ñ,Hornets[note 52],Ñ,Ñ,Ñ
Nashville,United States,44,"1,105,000",2,2,Titans,Ñ,Ñ,Predators,[note 53],Ñ
Buffalo,United States,53,"920,000",2,2,Bills[note 54],[note 55],[note 56],Sabres,Ñ,Ñ
New Orleans,United States,52,"925,000",2,2,Saints,Ñ,Pelicans[note 57],Ñ,Ñ,Ñ
Montreal,Canada,15,"3,570,000",1,3,Ñ,[note 58],Ñ,Canadiens,Impact,Alouettes
Vancouver,Canada,21,"2,310,000",1,3,Ñ,Ñ,[note 59],Canucks,Whitecaps FC,Lions
Orlando,United States,25,"2,125,000",1,2,Ñ,Ñ,Magic,Ñ,Orlando City SC,Ñ
Portland,United States,27,"2,000,000",1,2,Ñ,Ñ,Trail Blazers,Ñ,Timbers,Ñ
Columbus,United States,36,"1,505,000",1,2,Ñ,Ñ,Ñ,Blue Jackets,Crew SC,Ñ
Calgary,Canada,39,"1,215,000",1,2,Ñ,Ñ,Ñ,Flames,Ñ,Stampeders
