urban_area,country,pop_rank,population,major_4_cnt,major_6_cnt,NFL,MLB,NBA,NHL,MLS,CFL,ua_lat,ua_lon
New York City,United States,1,"20,685,000",9,11,Giants Jets[note 1],Yankees Mets[note 2],Knicks Nets,Rangers Islanders Devils[note 3],Red Bulls New York City FC,„,40.7306458,-73.9866136
Los Angeles,United States,2,"15,135,000",8,10,Rams Chargers[note 4],Dodgers Angels,Lakers Clippers,Kings Ducks,Galaxy Los Angeles FC[note 5],„,34.054935,-118.244476
San Francisco Bay Area,United States,7,"5,955,000",6,7,49ers Raiders[note 6],Giants Athletics,Warriors,Sharks[note 7],Earthquakes,„,37.7884969,-122.3558473
Chicago,United States,3,"9,185,000",5,6,Bears[note 8],Cubs White Sox,Bulls[note 9],Blackhawks,Fire,„,41.8755546,-87.6244212
Dallas Fort Worth,United States,5,"6,280,000",4,5,Cowboys,Rangers,Mavericks,Stars,FC Dallas,„,32.7379037,-97.2394281
Philadelphia,United States,9,"5,595,000",4,5,Eagles,Phillies[note 10],76ers,Flyers[note 11],Union,„,39.9523993,-75.1635899
"Washington, D.C.",United States,11,"4,950,000",4,5,Redskins,Nationals[note 12],Wizards[note 13],Capitals,D.C. United,„,36.29885175,-82.3591933141
Boston,United States,12,"4,490,000",4,5,Patriots[note 14],Red Sox[note 15],Celtics,Bruins,Revolution,„,42.3604823,-71.0595678
Minneapolis Saint Paul,United States,18,"2,795,000",4,5,Vikings,Twins,Timberwolves,Wild[note 16],United FC,„,44.94758455,-93.1027671269
Denver,United States,20,"2,600,000",4,5,Broncos,Rockies,Nuggets[note 17],Avalanche[note 18],Rapids,„,39.7391536,-104.9847034
Miami,United States,8,"5,820,000",4,4,Dolphins,Marlins,Heat,Panthers,[note 19],„,25.7742658,-80.1936589
Phoenix,United States,13,"4,295,000",4,4,Cardinals,Diamondbacks,Suns,Coyotes,„,„,33.4485866,-112.0773456
Detroit,United States,14,"3,660,000",4,4,Lions,Tigers[note 20],Pistons[note 21],Red Wings,„,„,42.3486635,-83.0567375
Toronto,Canada,4,"6,550,000",3,5,[note 22],Blue Jays,Raptors[note 23],Maple Leafs[note 24],Toronto FC,Argonauts,43.653963,-79.387207
Houston,United States,6,"6,005,000",3,4,Texans[note 25],Astros,Rockets,„,Dynamo,„,29.7589382,-95.3676974
Atlanta,United States,10,"5,120,000",3,4,Falcons,Braves,Hawks,[note 26],United FC,„,33.7490987,-84.3901849
Tampa Bay,United States,19,"2,660,000",3,3,Buccaneers,Rays,„,Lightning,[note 27],„,27.6886419,-82.5723193
Cleveland,United States,29,"1,785,000",3,3,Browns[note 28],Indians[note 29],Cavaliers[note 30],[note 31],„,„,41.5051613,-81.6934446
Pittsburgh,United States,30,"1,730,000",3,3,Steelers,Pirates,[note 32],Penguins[note 33],„,„,40.4416941,-79.9900861
Seattle,United States,16,"3,475,000",2,3,Seahawks,Mariners,[note 34],„,Sounders FC,„,47.6038321,-122.3300624
Kansas City,United States,34,"1,610,000",2,3,Chiefs,Royals[note 35],[note 36],[note 37],Sporting Kansas City,„,39.0844687,-94.5630298
Baltimore,United States,22,"2,275,000",2,2,Ravens[note 38],Orioles[note 39],[note 40],„,„,[note 41],39.2908816,-76.610759
St. Louis,United States,24,"2,195,000",2,2,[note 42],Cardinals[note 43],[note 44],Blues[note 45],„,„,38.6337716,-90.2416548
Cincinnati,United States,31,"1,695,000",2,2,Bengals,Reds[note 46],[note 47],„,„,„,39.1014537,-84.5124602
Indianapolis,United States,33,"1,645,000",2,2,Colts,[note 48],Pacers[note 49],„,„,„,39.7683331,-86.1583502
Milwaukee,United States,38,"1,415,000",2,2,[note 50],Brewers[note 51],Bucks,„,„,„,43.0349931,-87.922497
Charlotte,United States,35,"1,600,000",2,2,Panthers,„,Hornets[note 52],„,„,„,35.2270869,-80.8431268
Nashville,United States,44,"1,105,000",2,2,Titans,„,„,Predators,[note 53],„,36.1622296,-86.7743531
Buffalo,United States,53,"920,000",2,2,Bills[note 54],[note 55],[note 56],Sabres,„,„,42.8867166,-78.8783922
New Orleans,United States,52,"925,000",2,2,Saints,„,Pelicans[note 57],„,„,„,30.03280175,-89.9750054503
Montreal,Canada,15,"3,570,000",1,3,„,[note 58],„,Canadiens,Impact,Alouettes,45.4972159,-73.6103642
